state	tree1	tree2	MatchingSplit
1	0	1	58.0
2	0	2	68.0
3	0	3	62.0
4	0	4	66.0
5	0	5	64.0
6	0	6	67.0
7	0	7	62.0
8	0	8	61.0
9	0	9	65.0
10	0	10	68.0
11	1	2	54.0
12	1	3	48.0
13	1	4	48.0
14	1	5	50.0
15	1	6	54.0
16	1	7	50.0
17	1	8	45.0
18	1	9	49.0
19	1	10	52.0
20	2	3	24.0
21	2	4	20.0
22	2	5	24.0
23	2	6	23.0
24	2	7	22.0
25	2	8	27.0
26	2	9	21.0
27	2	10	20.0
28	3	4	8.0
29	3	5	14.0
30	3	6	19.0
31	3	7	14.0
32	3	8	15.0
33	3	9	11.0
34	3	10	16.0
35	4	5	10.0
36	4	6	13.0
37	4	7	10.0
38	4	8	13.0
39	4	9	3.0
40	4	10	8.0
41	5	6	9.0
42	5	7	8.0
43	5	8	15.0
44	5	9	7.0
45	5	10	12.0
46	6	7	13.0
47	6	8	16.0
48	6	9	10.0
49	6	10	7.0
50	7	8	13.0
51	7	9	7.0
52	7	10	12.0
53	8	9	14.0
54	8	10	15.0
55	9	10	9.0
---------
Summary:
Name	Avg	Std	Min	Max	Count
MatchingSplit	28.963636363636365	21.65175922843108	3.0	68.0	55
