state	tree1	tree2	MatchingSplit
1	0	1	59.0
2	0	2	52.0
3	0	3	50.0
4	0	4	55.0
5	0	5	57.0
6	0	6	52.0
7	0	7	56.0
8	0	8	60.0
9	0	9	63.0
10	0	10	61.0
11	1	2	33.0
12	1	3	37.0
13	1	4	27.0
14	1	5	53.0
15	1	6	38.0
16	1	7	33.0
17	1	8	34.0
18	1	9	28.0
19	1	10	31.0
20	2	3	14.0
21	2	4	12.0
22	2	5	47.0
23	2	6	32.0
24	2	7	26.0
25	2	8	26.0
26	2	9	27.0
27	2	10	26.0
28	3	4	16.0
29	3	5	48.0
30	3	6	28.0
31	3	7	28.0
32	3	8	27.0
33	3	9	25.0
34	3	10	24.0
35	4	5	43.0
36	4	6	28.0
37	4	7	22.0
38	4	8	24.0
39	4	9	23.0
40	4	10	24.0
41	5	6	37.0
42	5	7	40.0
43	5	8	45.0
44	5	9	47.0
45	5	10	48.0
46	6	7	20.0
47	6	8	20.0
48	6	9	22.0
49	6	10	25.0
50	7	8	18.0
51	7	9	14.0
52	7	10	16.0
53	8	9	10.0
54	8	10	7.0
55	9	10	9.0
---------
Summary:
Name	Avg	Std	Min	Max	Count
MatchingSplit	33.21818181818182	15.037759636196908	7.0	63.0	55
