state	tree1	tree2	MatchingSplit
1	0	1	40.0
2	0	2	43.0
3	0	3	41.0
4	0	4	41.0
5	0	5	41.0
6	0	6	45.0
7	0	7	41.0
8	0	8	43.0
9	0	9	41.0
10	0	10	40.0
11	0	11	43.0
12	0	12	43.0
13	0	13	41.0
14	0	14	40.0
15	0	15	43.0
16	0	16	41.0
17	0	17	43.0
18	0	18	41.0
19	0	19	39.0
20	0	20	39.0
21	0	21	40.0
22	0	22	40.0
23	0	23	41.0
24	0	24	41.0
25	0	25	40.0
26	0	26	37.0
27	0	27	40.0
28	0	28	37.0
29	0	29	40.0
30	0	30	40.0
31	0	31	40.0
32	0	32	40.0
33	0	33	40.0
34	0	34	40.0
35	0	35	43.0
36	0	36	43.0
37	0	37	40.0
38	0	38	41.0
39	0	39	41.0
40	0	40	37.0
41	0	41	41.0
42	0	42	41.0
43	0	43	41.0
44	0	44	41.0
45	0	45	41.0
46	0	46	41.0
47	0	47	40.0
48	0	48	40.0
49	0	49	41.0
50	0	50	40.0
51	0	51	40.0
52	0	52	41.0
53	0	53	40.0
54	0	54	37.0
55	0	55	37.0
56	0	56	40.0
57	0	57	40.0
58	0	58	40.0
59	0	59	40.0
60	0	60	40.0
61	0	61	40.0
62	0	62	40.0
63	0	63	41.0
64	0	64	40.0
65	0	65	41.0
66	0	66	40.0
67	0	67	40.0
68	0	68	40.0
69	0	69	40.0
70	0	70	40.0
71	0	71	41.0
72	0	72	40.0
73	0	73	41.0
74	0	74	41.0
75	0	75	40.0
76	0	76	40.0
77	0	77	40.0
78	0	78	40.0
79	0	79	40.0
80	0	80	41.0
81	0	81	40.0
82	0	82	41.0
83	0	83	41.0
84	0	84	40.0
85	0	85	40.0
86	0	86	40.0
87	0	87	40.0
88	0	88	41.0
89	0	89	40.0
90	0	90	40.0
91	0	91	40.0
92	0	92	40.0
93	0	93	40.0
94	0	94	40.0
95	0	95	40.0
96	0	96	40.0
97	0	97	41.0
98	0	98	43.0
99	0	99	43.0
100	1	2	21.0
101	1	3	23.0
102	1	4	22.0
103	1	5	22.0
104	1	6	22.0
105	1	7	25.0
106	1	8	21.0
107	1	9	25.0
108	1	10	26.0
109	1	11	24.0
110	1	12	24.0
111	1	13	25.0
112	1	14	26.0
113	1	15	24.0
114	1	16	26.0
115	1	17	24.0
116	1	18	25.0
117	1	19	23.0
118	1	20	23.0
119	1	21	27.0
120	1	22	27.0
121	1	23	25.0
122	1	24	22.0
123	1	25	26.0
124	1	26	24.0
125	1	27	26.0
126	1	28	24.0
127	1	29	26.0
128	1	30	26.0
129	1	31	26.0
130	1	32	26.0
131	1	33	26.0
132	1	34	26.0
133	1	35	24.0
134	1	36	24.0
135	1	37	26.0
136	1	38	22.0
137	1	39	25.0
138	1	40	25.0
139	1	41	25.0
140	1	42	25.0
141	1	43	25.0
142	1	44	24.0
143	1	45	24.0
144	1	46	24.0
145	1	47	26.0
146	1	48	26.0
147	1	49	24.0
148	1	50	26.0
149	1	51	26.0
150	1	52	25.0
151	1	53	26.0
152	1	54	24.0
153	1	55	24.0
154	1	56	26.0
155	1	57	26.0
156	1	58	26.0
157	1	59	26.0
158	1	60	26.0
159	1	61	26.0
160	1	62	26.0
161	1	63	24.0
162	1	64	26.0
163	1	65	25.0
164	1	66	26.0
165	1	67	26.0
166	1	68	26.0
167	1	69	26.0
168	1	70	26.0
169	1	71	25.0
170	1	72	26.0
171	1	73	25.0
172	1	74	25.0
173	1	75	26.0
174	1	76	26.0
175	1	77	26.0
176	1	78	26.0
177	1	79	26.0
178	1	80	24.0
