state	MatchingSplit
1	40.0
2	21.0
3	2.0
4	7.0
5	0.0
6	12.0
7	5.0
8	4.0
9	4.0
10	3.0
11	6.0
12	0.0
13	5.0
14	5.0
15	6.0
16	5.0
17	5.0
18	3.0
19	12.0
20	0.0
21	14.0
22	0.0
23	5.0
24	7.0
25	8.0
26	7.0
27	7.0
28	7.0
29	7.0
30	0.0
31	0.0
32	0.0
33	0.0
34	0.0
35	6.0
36	0.0
37	6.0
38	8.0
39	7.0
40	9.0
41	9.0
42	0.0
43	0.0
44	7.0
45	0.0
46	0.0
47	6.0
48	0.0
49	6.0
50	6.0
51	0.0
52	3.0
53	3.0
54	7.0
55	0.0
56	7.0
57	0.0
58	0.0
59	0.0
60	0.0
61	0.0
62	0.0
63	6.0
64	6.0
65	3.0
66	3.0
67	0.0
68	0.0
69	0.0
70	0.0
71	3.0
72	3.0
73	3.0
74	0.0
75	3.0
76	0.0
77	0.0
78	0.0
79	0.0
80	6.0
81	6.0
82	3.0
83	0.0
84	3.0
85	0.0
86	0.0
87	0.0
88	3.0
89	3.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	3.0
98	3.0
99	0.0
---------
Summary:
Name	Avg	Std	Min	Max	Count
MatchingSplit	3.606060606060606	5.264361178964598	0.0	40.0	99
