Search rep 1 (of 10)
random seed = 327005
gen	best_like	time	optPrecision
0	-1492.197573	0	0.5
10	-1489.22944	0	0.5
20	-1488.989427	0	0.5
30	-1488.128711	0	0.5
40	-1487.958811	0	0.5
50	-1487.958811	0	0.5
60	-1487.946642	0	0.5
70	-1487.932908	0	0.5
80	-1487.932908	0	0.5
90	-1487.920179	0	0.5
100	-1487.920179	0	0.5
110	-1487.829445	0	0.5
120	-1487.712383	0	0.5
130	-1487.673226	0	0.5
140	-1487.384126	0	0.5
150	-1487.257717	0	0.5
160	-1487.129608	0	0.5
170	-1487.04009	0	0.5
180	-1486.669964	0	0.5
190	-1486.578021	0	0.5
200	-1486.578021	0	0.5
210	-1486.577362	0	0.5
220	-1486.559415	0	0.5
230	-1486.486215	0	0.5
240	-1486.486215	0	0.5
250	-1486.485155	0	0.5
260	-1486.485155	0	0.5
270	-1486.480795	0	0.5
280	-1486.480795	0	0.5
290	-1486.403664	0	0.5
300	-1486.278705	0	0.5
310	-1486.243735	0	0.5
320	-1486.096497	0	0.5
330	-1486.087099	0	0.5
340	-1486.020418	0	0.5
350	-1485.823582	0	0.5
360	-1485.813059	0	0.5
370	-1485.688117	0	0.5
380	-1485.622138	0	0.5
390	-1485.574613	0	0.5
400	-1485.542841	0	0.5
410	-1485.471373	0	0.5
420	-1485.324919	1	0.5
430	-1485.324919	1	0.5
440	-1485.29104	1	0.5
450	-1485.22889	1	0.5
460	-1485.132835	1	0.5
470	-1485.113664	1	0.5
480	-1485.08117	1	0.5
490	-1485.055097	1	0.5
500	-1485.040946	1	0.5
510	-1485.040946	1	0.5
520	-1485.018013	1	0.5
530	-1484.962368	1	0.5
540	-1484.962368	1	0.5
550	-1484.962368	1	0.5
560	-1484.909878	1	0.5
570	-1484.888144	1	0.5
580	-1484.888144	1	0.5
590	-1484.882334	1	0.5
600	-1484.882334	1	0.5
610	-1484.876585	1	0.5
620	-1484.84311	1	0.5
630	-1484.84311	1	0.5
640	-1484.826448	1	0.5
650	-1484.813983	1	0.5
660	-1484.518733	1	0.5
670	-1484.23161	1	0.5
680	-1484.176879	1	0.5
690	-1484.129167	1	0.5
700	-1484.114934	1	0.5
710	-1484.073624	1	0.5
720	-1484.025879	1	0.5
730	-1484.025879	1	0.5
740	-1484.013742	1	0.5
750	-1484.000147	1	0.5
760	-1483.97655	1	0.5
770	-1483.973916	1	0.5
780	-1483.970018	1	0.5
790	-1483.877586	1	0.5
800	-1483.828759	1	0.5
810	-1483.802491	1	0.5
820	-1483.777182	1	0.5
830	-1483.7618	1	0.5
840	-1483.743973	1	0.5
850	-1483.740214	1	0.5
860	-1483.718755	1	0.5
870	-1483.678502	1	0.5
880	-1483.667496	1	0.5
890	-1483.667496	1	0.5
900	-1483.667496	1	0.5
910	-1482.81527	1	0.451
920	-1482.75709	1	0.451
930	-1482.694234	1	0.451
940	-1482.685703	1	0.451
950	-1482.685703	1	0.451
960	-1482.634834	1	0.451
970	-1482.620255	1	0.451
980	-1482.537563	1	0.451
990	-1482.500038	1	0.451
1000	-1482.445738	1	0.451
1010	-1482.28171	1	0.451
1020	-1482.28171	2	0.451
1030	-1482.280466	2	0.451
1040	-1482.185668	2	0.451
1050	-1482.170952	2	0.451
1060	-1482.169291	2	0.451
1070	-1482.166852	2	0.451
1080	-1482.110978	2	0.451
1090	-1482.110143	2	0.451
1100	-1482.096591	2	0.451
1110	-1482.085794	2	0.451
1120	-1482.081024	2	0.451
1130	-1482.081024	2	0.451
1140	-1482.059831	2	0.451
1150	-1482.05867	2	0.451
1160	-1482.049419	2	0.451
1170	-1481.997472	2	0.451
1180	-1481.997472	2	0.451
1190	-1481.997472	2	0.451
1200	-1481.987117	2	0.451
1210	-1481.987117	2	0.451
1220	-1481.762018	2	0.451
1230	-1481.762018	2	0.451
1240	-1481.762018	2	0.451
1250	-1481.730622	2	0.451
1260	-1481.71668	2	0.451
1270	-1481.71668	2	0.451
1280	-1481.71668	2	0.451
1290	-1481.712157	2	0.451
1300	-1481.689785	2	0.451
1310	-1481.689785	2	0.451
1320	-1481.689785	2	0.451
1330	-1481.679445	2	0.451
1340	-1481.676395	2	0.451
1350	-1481.669553	2	0.451
1360	-1481.661722	2	0.451
1370	-1481.660289	2	0.451
1380	-1481.505911	2	0.451
1390	-1481.505911	2	0.451
1400	-1481.505784	2	0.451
1410	-1481.50359	2	0.451
1420	-1481.49768	2	0.451
1430	-1481.483887	2	0.451
1440	-1481.483887	2	0.451
1450	-1481.479619	2	0.451
1460	-1481.479619	2	0.451
1470	-1481.479619	2	0.451
1480	-1481.315512	2	0.451
1490	-1481.312697	2	0.451
1500	-1481.312697	2	0.451
1510	-1481.305197	2	0.451
1520	-1481.284593	2	0.451
1530	-1481.284593	2	0.451
1540	-1481.284593	2	0.451
1550	-1481.284593	2	0.451
1560	-1481.266786	2	0.451
1570	-1481.26022	2	0.451
1580	-1481.24671	2	0.451
1590	-1481.239506	2	0.451
1600	-1481.233224	2	0.451
1610	-1481.200538	2	0.402
1620	-1481.197303	3	0.402
1630	-1481.197303	3	0.402
