Search rep 1 (of 10)
random seed = 308790
gen	best_like	time	optPrecision
0	-1385.569047	0	0.5
10	-1382.10554	0	0.5
20	-1380.223216	0	0.5
30	-1380.156214	0	0.5
40	-1378.574617	0	0.5
50	-1377.75893	0	0.5
60	-1377.744444	0	0.5
70	-1377.647171	0	0.5
80	-1377.615714	0	0.5
90	-1377.589313	1	0.5
100	-1377.589269	1	0.5
110	-1377.539017	1	0.5
120	-1377.341445	1	0.5
130	-1377.341445	1	0.5
140	-1377.278601	1	0.5
150	-1377.179232	1	0.5
160	-1377.157555	1	0.5
170	-1377.123472	1	0.5
180	-1377.079326	1	0.5
190	-1377.060631	1	0.5
200	-1377.012276	1	0.5
210	-1376.961206	1	0.5
220	-1376.874296	1	0.5
230	-1376.799825	1	0.5
240	-1376.787825	1	0.5
250	-1376.782672	1	0.5
260	-1376.715758	1	0.5
270	-1376.689522	1	0.5
280	-1376.689522	1	0.5
290	-1376.684156	1	0.5
300	-1376.677745	1	0.5
310	-1376.649892	1	0.5
320	-1376.549466	1	0.5
330	-1376.479257	1	0.5
340	-1376.479193	1	0.5
350	-1376.404918	1	0.5
360	-1376.363956	1	0.5
370	-1376.23302	1	0.5
380	-1376.228382	1	0.5
390	-1376.195592	1	0.5
400	-1376.184785	1	0.5
410	-1376.150828	1	0.5
420	-1376.139173	1	0.5
430	-1376.120531	1	0.5
440	-1376.080905	1	0.5
450	-1376.018199	1	0.5
460	-1375.99395	1	0.5
470	-1375.988479	1	0.5
480	-1375.976558	1	0.5
490	-1375.969079	1	0.5
500	-1375.963003	1	0.5
510	-1375.923301	1	0.5
520	-1375.923301	1	0.5
530	-1375.882238	1	0.5
540	-1375.881835	1	0.5
550	-1375.874423	1	0.5
560	-1375.854905	1	0.5
570	-1375.81352	1	0.5
580	-1375.811277	1	0.5
590	-1375.769708	1	0.5
600	-1375.761942	1	0.5
610	-1375.745894	1	0.255
620	-1375.739531	1	0.255
630	-1375.710727	1	0.255
640	-1375.707575	1	0.255
650	-1375.688683	1	0.255
660	-1375.572011	1	0.255
670	-1375.542667	1	0.255
680	-1375.540454	1	0.255
690	-1375.534259	1	0.255
700	-1375.529136	1	0.255
710	-1375.507147	1	0.255
720	-1375.503317	1	0.255
730	-1375.468013	1	0.255
740	-1375.410975	1	0.255
750	-1375.393058	1	0.255
760	-1375.393058	1	0.255
770	-1375.391313	1	0.255
780	-1375.383635	1	0.255
790	-1375.357145	1	0.255
800	-1375.319625	1	0.255
810	-1375.297569	1	0.255
820	-1375.282223	1	0.255
830	-1375.273782	1	0.255
840	-1375.25204	1	0.255
850	-1375.234301	1	0.255
860	-1375.20737	1	0.255
870	-1375.188039	1	0.255
880	-1375.175072	1	0.255
890	-1375.169451	1	0.255
900	-1375.15519	1	0.255
910	-1375.129356	1	0.255
920	-1375.125168	1	0.255
930	-1375.050645	1	0.255
940	-1375.008804	1	0.255
950	-1374.955205	1	0.255
960	-1374.926219	1	0.255
970	-1374.926219	1	0.255
980	-1374.914238	1	0.255
990	-1374.914238	1	0.255
1000	-1374.908291	1	0.255
1010	-1374.906123	1	0.255
1020	-1374.891435	1	0.255
1030	-1374.88725	1	0.255
1040	-1374.872241	1	0.255
1050	-1374.865909	1	0.255
1060	-1374.853791	1	0.255
1070	-1374.853791	1	0.255
1080	-1374.85142	2	0.255
1090	-1374.851114	2	0.255
1100	-1374.845987	2	0.255
1110	-1374.161536	2	0.01
1120	-1374.161448	2	0.01
1130	-1374.158736	2	0.01
1140	-1374.146326	2	0.01
1150	-1374.101773	2	0.01
1160	-1374.084874	2	0.01
1170	-1374.07716	2	0.01
1180	-1374.052297	2	0.01
1190	-1373.924616	2	0.01
1200	-1373.88938	2	0.01
1210	-1373.879785	2	0.01
1220	-1373.879785	2	0.01
1230	-1373.879785	2	0.01
1240	-1373.878514	2	0.01
1250	-1373.86691	2	0.01
1260	-1373.843726	2	0.01
1270	-1373.828759	2	0.01
1280	-1373.815126	2	0.01
1290	-1373.627653	2	0.01
1300	-1373.6091	2	0.01
1310	-1373.540071	2	0.01
1320	-1373.478763	2	0.01
1330	-1373.445732	2	0.01
1340	-1373.431188	2	0.01
1350	-1373.407975	2	0.01
1360	-1373.407975	2	0.01
1370	-1373.393298	2	0.01
1380	-1373.388338	2	0.01
1390	-1373.245822	2	0.01
1400	-1373.237557	2	0.01
1410	-1373.228354	2	0.01
1420	-1373.224407	2	0.01
1430	-1373.214987	2	0.01
1440	-1373.184674	2	0.01
1450	-1373.179362	2	0.01
1460	-1373.159148	2	0.01
1470	-1373.086931	2	0.01
1480	-1373.086931	2	0.01
1490	-1372.956587	2	0.01
1500	-1372.922142	2	0.01
1510	-1372.922142	2	0.01
1520	-1372.921884	2	0.01
1530	-1372.917885	2	0.01
1540	-1372.913806	2	0.01
1550	-1372.795491	2	0.01
1560	-1372.783706	2	0.01
1570	-1372.781694	2	0.01
1580	-1372.776243	3	0.01
1590	-1372.760915	3	0.01
1600	-1372.760235	3	0.01
1610	-1372.746505	3	0.01
1620	-1372.746505	3	0.01
1630	-1372.740382	3	0.01
1640	-1372.719165	3	0.01
1650	-1372.719165	3	0.01
1660	-1372.718426	3	0.01
1670	-1372.715577	3	0.01
1680	-1372.715466	3	0.01
1690	-1372.708345	3	0.01
1700	-1372.704993	3	0.01
1710	-1372.613372	3	0.01
1720	-1372.613372	3	0.01
1730	-1372.613297	3	0.01
1740	-1372.610945	3	0.01
1750	-1372.603433	3	0.01
1760	-1372.601854	3	0.01
1770	-1372.601854	3	0.01
1780	-1372.597898	3	0.01
1790	-1372.597177	3	0.01
1800	-1372.597177	3	0.01
1810	-1372.597177	3	0.01
1820	-1372.597177	3	0.01
1830	-1372.594417	3	0.01
1840	-1372.594417	3	0.01
1850	-1372.594417	3	0.01
1860	-1372.453031	3	0.01
1870	-1372.453031	3	0.01
1880	-1372.453031	3	0.01
1890	-1372.453031	3	0.01
1900	-1372.442623	3	0.01
1910	-1372.442623	3	0.01
1920	-1372.442623	3	0.01
1930	-1372.441553	3	0.01
1940	-1372.441553	3	0.01
1950	-1372.441553	3	0.01
1960	-1372.441373	3	0.01
1970	-1372.441362	3	0.01
1980	-1372.441362	3	0.01
1990	-1372.441362	3	0.01
2000	-1372.441	3	0.01
2010	-1372.441	3	0.01
