Bootstrap rep 1 (of 100) 
random seed = 114550
gen	best_like	time	optPrecision
0	-1323.114322	0	0.5
10	-1322.765309	0	0.5
20	-1318.829921	0	0.5
30	-1316.321425	0	0.5
40	-1315.280782	0	0.5
50	-1315.154636	0	0.5
60	-1314.993082	0	0.5
70	-1314.945105	0	0.5
80	-1314.714543	0	0.5
90	-1314.500296	0	0.5
100	-1314.191632	0	0.5
110	-1314.1527	0	0.5
120	-1313.663769	0	0.5
130	-1313.521912	0	0.5
140	-1313.390066	0	0.5
150	-1313.287524	0	0.5
160	-1313.161541	0	0.5
170	-1313.043597	0	0.5
180	-1313.03421	0	0.5
190	-1312.87806	0	0.5
200	-1312.831447	0	0.5
210	-1312.817903	0	0.5
220	-1312.750954	0	0.5
230	-1312.750954	1	0.5
240	-1312.707153	1	0.5
250	-1312.694372	1	0.5
260	-1312.583122	1	0.5
270	-1312.568775	1	0.5
280	-1312.525668	1	0.5
290	-1312.428905	1	0.5
300	-1312.416807	1	0.5
310	-1312.386648	1	0.5
320	-1312.309719	1	0.5
330	-1312.294335	1	0.5
340	-1312.263686	1	0.5
350	-1312.219849	1	0.5
360	-1312.150266	1	0.5
370	-1312.098967	1	0.5
380	-1312.076607	1	0.5
390	-1312.047863	1	0.5
400	-1312.008914	1	0.5
410	-1311.962515	1	0.5
420	-1311.907179	1	0.5
430	-1311.858833	1	0.5
440	-1311.82251	1	0.5
450	-1311.812145	1	0.5
460	-1311.812145	1	0.5
470	-1311.723665	1	0.5
480	-1311.71776	1	0.5
490	-1311.66296	1	0.5
500	-1311.618781	1	0.5
510	-1311.594259	1	0.5
520	-1311.589389	1	0.5
530	-1311.577931	1	0.5
540	-1311.540879	1	0.5
550	-1311.540641	1	0.5
560	-1311.513779	1	0.5
570	-1311.507186	1	0.5
580	-1311.506336	1	0.5
590	-1311.505804	1	0.5
600	-1311.490292	1	0.5
610	-1311.450394	1	0.5
620	-1311.438678	1	0.5
630	-1311.432198	1	0.5
640	-1311.430605	1	0.5
650	-1311.430605	1	0.5
660	-1311.430144	1	0.5
670	-1311.425314	1	0.5
680	-1311.423482	1	0.5
690	-1311.408669	1	0.5
700	-1311.40719	1	0.5
710	-1311.404227	1	0.5
720	-1311.404227	1	0.5
730	-1311.395159	1	0.5
740	-1311.367072	1	0.5
750	-1311.367072	1	0.5
760	-1311.366929	1	0.5
770	-1311.350002	1	0.5
780	-1311.341683	1	0.5
