Search rep 1 (of 10)
random seed = 434024
gen	best_like	time	optPrecision
0	-1381.716051	0	0.5
10	-1381.306573	0	0.5
20	-1380.863746	0	0.5
30	-1379.787405	0	0.5
40	-1379.035897	0	0.5
50	-1379.035897	0	0.5
60	-1378.977745	0	0.5
70	-1378.972209	0	0.5
80	-1378.972209	0	0.5
90	-1378.85938	0	0.5
100	-1378.463626	0	0.5
110	-1378.401552	0	0.5
120	-1378.38647	0	0.5
130	-1377.645998	0	0.5
140	-1377.645998	0	0.5
150	-1377.616973	0	0.5
160	-1377.534599	0	0.5
170	-1377.466948	0	0.5
180	-1377.466948	0	0.5
190	-1377.374438	1	0.5
200	-1377.30781	1	0.5
210	-1377.307591	1	0.5
220	-1377.203167	1	0.5
230	-1377.165649	1	0.5
240	-1377.143808	1	0.5
250	-1377.133303	1	0.5
260	-1377.131202	1	0.5
270	-1377.131202	1	0.5
280	-1377.129773	1	0.5
290	-1377.129773	1	0.5
300	-1377.098424	1	0.5
310	-1376.988021	1	0.5
320	-1376.905766	1	0.5
330	-1376.863272	1	0.5
340	-1376.858011	1	0.5
350	-1376.838206	1	0.5
360	-1376.826808	1	0.5
370	-1376.823866	1	0.5
380	-1376.784687	1	0.5
390	-1376.761322	1	0.5
400	-1376.723148	1	0.5
410	-1376.638673	1	0.5
420	-1376.595395	1	0.5
430	-1376.520801	1	0.5
440	-1376.348518	1	0.5
450	-1376.345437	1	0.5
460	-1376.318086	1	0.5
470	-1376.251456	1	0.5
480	-1376.247373	1	0.5
490	-1376.241865	1	0.5
500	-1376.205956	1	0.5
510	-1376.202916	1	0.5
520	-1376.201594	1	0.5
530	-1376.178215	1	0.5
540	-1376.178215	1	0.5
550	-1376.109736	1	0.5
560	-1376.08575	1	0.5
570	-1376.048242	1	0.5
580	-1376.011591	1	0.5
590	-1375.984783	1	0.5
600	-1375.98263	1	0.5
610	-1375.970875	1	0.255
620	-1375.956609	1	0.255
630	-1375.956331	1	0.255
640	-1375.923513	1	0.255
650	-1375.918936	1	0.255
660	-1375.876834	1	0.255
670	-1375.874409	1	0.255
680	-1375.874326	1	0.255
690	-1375.868641	1	0.255
700	-1375.86173	1	0.255
710	-1375.850953	1	0.255
720	-1375.793213	1	0.255
730	-1375.780375	1	0.255
740	-1375.764571	1	0.255
750	-1375.735963	1	0.255
760	-1375.704263	1	0.255
770	-1375.700564	1	0.255
780	-1375.69901	1	0.255
790	-1375.68093	1	0.255
800	-1375.613337	1	0.255
810	-1375.57732	1	0.255
820	-1375.576434	1	0.255
830	-1375.561941	1	0.255
840	-1375.561941	1	0.255
850	-1375.558517	1	0.255
860	-1375.537148	1	0.255
870	-1375.534246	1	0.255
880	-1375.526299	1	0.255
890	-1375.526299	1	0.255
900	-1375.518703	1	0.255
910	-1375.507161	1	0.255
920	-1375.507161	1	0.255
930	-1375.506478	1	0.255
940	-1375.505422	1	0.255
950	-1375.505213	1	0.255
960	-1375.505213	1	0.255
970	-1375.502118	1	0.255
980	-1375.502118	1	0.255
990	-1375.500448	1	0.255
1000	-1375.500448	1	0.255
1010	-1375.500448	1	0.255
1020	-1375.491817	1	0.255
1030	-1375.478824	1	0.255
1040	-1375.478824	1	0.255
1050	-1375.470892	1	0.255
1060	-1375.467802	1	0.255
1070	-1375.462239	1	0.255
1080	-1375.456235	1	0.255
1090	-1375.453941	1	0.255
1100	-1375.451087	1	0.255
1110	-1375.257658	1	0.01
1120	-1375.253775	1	0.01
1130	-1375.248331	1	0.01
1140	-1375.245022	1	0.01
1150	-1375.245022	1	0.01
1160	-1375.245004	1	0.01
1170	-1375.244612	2	0.01
1180	-1375.244211	2	0.01
1190	-1375.234193	2	0.01
1200	-1375.226774	2	0.01
1210	-1375.226774	2	0.01
1220	-1375.226774	2	0.01
1230	-1375.226774	2	0.01
1240	-1375.223794	2	0.01
1250	-1375.223484	2	0.01
1260	-1375.217904	2	0.01
1270	-1375.205511	2	0.01
1280	-1375.205511	2	0.01
1290	-1375.205511	2	0.01
1300	-1375.20408	2	0.01
1310	-1375.20408	2	0.01
1320	-1375.203254	2	0.01
1330	-1375.199492	2	0.01
1340	-1375.199492	2	0.01
1350	-1375.199492	2	0.01
1360	-1375.198783	2	0.01
1370	-1375.198783	2	0.01
1380	-1375.198783	2	0.01
1390	-1375.198493	2	0.01
1400	-1375.198493	2	0.01
1410	-1375.198493	2	0.01
1420	-1375.198493	2	0.01
1430	-1375.198493	2	0.01
1440	-1375.198493	2	0.01
1450	-1375.198493	2	0.01
1460	-1375.198493	2	0.01
1470	-1375.188203	2	0.01
1480	-1375.188203	2	0.01
1490	-1375.185804	2	0.01
1500	-1375.185804	2	0.01
1510	-1375.185804	2	0.01
1520	-1375.185006	2	0.01
1530	-1375.184508	2	0.01
1540	-1375.184508	2	0.01
1550	-1375.184508	2	0.01
1560	-1375.18109	2	0.01
1570	-1375.18109	2	0.01
1580	-1375.18109	3	0.01
1590	-1375.18109	3	0.01
1600	-1375.181089	3	0.01
1610	-1375.181089	3	0.01
1620	-1375.173344	3	0.01
1630	-1375.173344	3	0.01
1640	-1375.172802	3	0.01
1650	-1375.172802	3	0.01
1660	-1375.172446	3	0.01
1670	-1375.172446	3	0.01
1680	-1375.172446	3	0.01
1690	-1375.172411	3	0.01
1700	-1375.172411	3	0.01
1710	-1375.172411	3	0.01
1720	-1375.172411	3	0.01
1730	-1375.166124	3	0.01
1740	-1375.164807	3	0.01
1750	-1375.164807	3	0.01
1760	-1375.164807	3	0.01
1770	-1375.164807	3	0.01
1780	-1375.164807	3	0.01
1790	-1375.164557	3	0.01
1800	-1375.16105	3	0.01
1810	-1375.157335	3	0.01
1820	-1375.157335	3	0.01
1830	-1375.157335	3	0.01
1840	-1375.157285	3	0.01
1850	-1375.157285	3	0.01
